transaction_id,account_id,transaction_date,transaction_type,transaction_amount,payment_mode
TXN100068,ACC1003,2025-08-13,Withdrawal,687,UPI
TXN100066,ACC1003,2025-08-30,Withdrawal,284,UPI
TXN100073,ACC1003,2025-09-20,Received,1173,Debit Card
TXN100070,ACC1003,2025-09-22,Withdrawal,1022,Debit Card
TXN100072,ACC1003,2025-09-30,Payment,37540,Debit Card
TXN100078,ACC1003,2025-10-02,Payment,1227,UPI
TXN100077,ACC1003,2025-10-06,Deposit,622,UPI
TXN100063,ACC1003,2025-10-28,Payment,23907,UPI
TXN100074,ACC1003,2025-11-04,Withdrawal,135,UPI
TXN100075,ACC1003,2025-11-15,Payment,947,Debit Card
TXN100113,ACC1004,2025-05-19,Withdrawal,1029,Debit Card
TXN100114,ACC1004,2025-05-19,Withdrawal,829,Debit Card
TXN100115,ACC1004,2025-05-23,Payment,556,UPI
TXN100102,ACC1004,2025-05-28,Payment,699,Debit Card
TXN100106,ACC1004,2025-05-29,Withdrawal,1287,UPI
TXN100127,ACC1004,2025-05-30,Withdrawal,1240,Debit Card
TXN100087,ACC1004,2025-05-31,Transfer,153,Net Banking
TXN100091,ACC1004,2025-06-03,Payment,1196,Debit Card
TXN100084,ACC1004,2025-06-13,Received,1724,UPI
TXN100124,ACC1004,2025-06-14,Payment,706,Debit Card
TXN100118,ACC1004,2025-06-15,Withdrawal,1310,Debit Card
TXN100095,ACC1004,2025-06-23,Deposit,710,Net Banking
TXN100093,ACC1004,2025-06-26,Payment,976,Debit Card
TXN100120,ACC1004,2025-07-20,Payment,641,Debit Card
TXN100089,ACC1004,2025-07-24,Withdrawal,951,Debit Card
TXN100099,ACC1004,2025-07-26,Received,1755,Debit Card
TXN100086,ACC1004,2025-07-29,Payment,1039,Debit Card
TXN100103,ACC1004,2025-07-29,Payment,215,Net Banking
TXN100126,ACC1004,2025-07-30,Transfer,504,Debit Card
TXN100094,ACC1004,2025-07-31,Withdrawal,398,Debit Card
TXN100110,ACC1004,2025-08-04,Withdrawal,1401,Net Banking
TXN100092,ACC1004,2025-08-09,Payment,752,UPI
TXN100122,ACC1004,2025-08-10,Payment,482,UPI
TXN100085,ACC1004,2025-08-12,Payment,936,UPI
TXN100125,ACC1004,2025-08-17,Payment,1352,UPI
TXN100100,ACC1004,2025-08-26,Payment,475,Credit Card
TXN100090,ACC1004,2025-08-31,Payment,230,Debit Card
TXN100098,ACC1004,2025-09-05,Withdrawal,841,Debit Card
TXN100116,ACC1004,2025-09-15,Received,1255,Debit Card
TXN100111,ACC1004,2025-09-27,Withdrawal,749,Debit Card
TXN100123,ACC1004,2025-10-14,Withdrawal,1167,Credit Card
TXN100105,ACC1004,2025-10-15,Payment,466,UPI
TXN100096,ACC1004,2025-10-16,Payment,538,UPI
TXN100117,ACC1004,2025-10-19,Payment,476,UPI
TXN100107,ACC1004,2025-10-20,Payment,372,Net Banking
TXN100112,ACC1004,2025-10-23,Withdrawal,919,UPI
TXN100129,ACC1004,2025-10-27,Withdrawal,521,Net Banking
TXN100109,ACC1004,2025-10-28,Payment,1304,Credit Card
TXN100097,ACC1004,2025-11-02,Transfer,709,UPI
TXN100101,ACC1004,2025-11-02,Withdrawal,751,Net Banking
TXN100104,ACC1004,2025-11-04,Payment,622,UPI
TXN100119,ACC1004,2025-11-05,Deposit,803,Debit Card
TXN100108,ACC1004,2025-11-10,Received,1121,UPI
TXN100088,ACC1004,2025-11-12,Payment,292,UPI
TXN100121,ACC1004,2025-11-12,Received,1613,UPI
TXN100128,ACC1004,2025-11-13,Deposit,671,UPI
TXN100137,ACC1005,2025-05-21,Withdrawal,134,UPI
TXN100130,ACC1005,2025-05-26,Deposit,877,Debit Card
TXN100142,ACC1005,2025-05-30,Withdrawal,426,Debit Card
TXN100131,ACC1005,2025-06-06,Payment,980,UPI
TXN100152,ACC1005,2025-06-09,Payment,705,UPI
TXN100135,ACC1005,2025-06-23,Received,1774,UPI
TXN100134,ACC1005,2025-06-26,Payment,528,UPI
TXN100140,ACC1005,2025-06-29,Deposit,950,Debit Card
TXN100153,ACC1005,2025-06-29,Payment,949,Credit Card
TXN100155,ACC1005,2025-07-07,Payment,1270,Debit Card
TXN100141,ACC1005,2025-07-14,Payment,1318,UPI
TXN100148,ACC1005,2025-07-17,Withdrawal,1438,Debit Card
TXN100150,ACC1005,2025-07-22,Deposit,980,UPI
TXN100136,ACC1005,2025-08-06,Payment,222,Debit Card
TXN100139,ACC1005,2025-08-07,Withdrawal,221,Credit Card
TXN100132,ACC1005,2025-08-08,Transfer,1148,Credit Card
TXN100144,ACC1005,2025-09-02,Deposit,1731,Credit Card
TXN100143,ACC1005,2025-09-05,Received,1931,Debit Card
TXN100154,ACC1005,2025-09-06,Transfer,594,Debit Card
TXN100159,ACC1005,2025-09-15,Payment,1412,UPI
TXN100149,ACC1005,2025-09-29,Payment,1278,Credit Card
TXN100147,ACC1005,2025-10-03,Payment,1148,UPI
TXN100138,ACC1005,2025-10-09,Received,1872,Debit Card
TXN100157,ACC1005,2025-10-13,Payment,1038,UPI
TXN100145,ACC1005,2025-10-16,Payment,405,Debit Card
TXN100151,ACC1005,2025-10-16,Deposit,822,Debit Card
TXN100160,ACC1005,2025-10-16,Withdrawal,1160,Debit Card
TXN100146,ACC1005,2025-11-02,Payment,519,Debit Card
TXN100156,ACC1005,2025-11-03,Transfer,656,Credit Card
TXN100133,ACC1005,2025-11-10,Transfer,323,Debit Card
TXN100158,ACC1005,2025-11-14,Withdrawal,175,UPI
TXN100182,ACC1006,2025-06-02,Payment,1133,UPI
TXN100175,ACC1006,2025-06-19,Withdrawal,443,Debit Card
TXN100181,ACC1006,2025-07-02,Deposit,1372,UPI
TXN100165,ACC1006,2025-07-18,Withdrawal,726,Debit Card
TXN100172,ACC1006,2025-07-29,Payment,44949,UPI
TXN100161,ACC1006,2025-08-10,Payment,393,Debit Card
TXN100169,ACC1006,2025-08-14,Payment,439,Debit Card
TXN100167,ACC1006,2025-08-26,Withdrawal,412,Debit Card
TXN100170,ACC1006,2025-09-04,Payment,632,UPI
TXN100171,ACC1006,2025-09-09,Withdrawal,200,UPI
TXN100178,ACC1006,2025-09-21,Payment,1305,UPI
TXN100180,ACC1006,2025-09-26,Withdrawal,144,Debit Card
TXN100166,ACC1006,2025-10-08,Payment,1475,Debit Card
TXN100174,ACC1006,2025-10-08,Payment,1348,Debit Card
TXN100177,ACC1006,2025-10-09,Payment,444,Debit Card
TXN100164,ACC1006,2025-10-15,Received,584,Credit Card
TXN100162,ACC1006,2025-10-25,Deposit,1039,UPI
TXN100168,ACC1006,2025-10-30,Payment,1211,UPI
TXN100173,ACC1006,2025-10-30,Payment,1198,UPI
TXN100176,ACC1006,2025-11-08,Withdrawal,528,Debit Card
TXN100163,ACC1006,2025-11-14,Withdrawal,335,Net Banking
TXN100179,ACC1006,2025-11-14,Withdrawal,971,UPI
TXN100203,ACC1007,2025-05-22,Received,672,Debit Card
TXN100188,ACC1007,2025-05-23,Withdrawal,716,Debit Card
TXN100189,ACC1007,2025-05-24,Withdrawal,867,UPI
TXN100200,ACC1007,2025-05-29,Payment,1050,UPI
TXN100183,ACC1007,2025-05-30,Withdrawal,578,UPI
TXN100192,ACC1007,2025-06-07,Withdrawal,671,Debit Card
TXN100217,ACC1007,2025-06-08,Withdrawal,991,UPI
TXN100206,ACC1007,2025-06-12,Withdrawal,993,Debit Card
TXN100190,ACC1007,2025-06-26,Deposit,984,Debit Card
TXN100201,ACC1007,2025-07-03,Transfer,566,UPI
TXN100210,ACC1007,2025-07-10,Transfer,768,Debit Card
TXN100198,ACC1007,2025-07-13,Withdrawal,424,UPI
TXN100209,ACC1007,2025-07-13,Received,1635,Debit Card
TXN100191,ACC1007,2025-07-27,Payment,1391,Debit Card
TXN100218,ACC1007,2025-08-02,Payment,817,Net Banking
TXN100219,ACC1007,2025-08-02,Payment,903,UPI
TXN100202,ACC1007,2025-08-03,Payment,331,Debit Card
TXN100197,ACC1007,2025-08-05,Withdrawal,1222,UPI
TXN100220,ACC1007,2025-08-21,Transfer,1484,Debit Card
TXN100185,ACC1007,2025-08-22,Withdrawal,242,Debit Card
TXN100208,ACC1007,2025-08-26,Withdrawal,1307,Debit Card
TXN100211,ACC1007,2025-08-27,Payment,486,Debit Card
TXN100199,ACC1007,2025-08-28,Payment,1441,UPI
TXN100196,ACC1007,2025-08-29,Withdrawal,831,Debit Card
TXN100216,ACC1007,2025-09-04,Received,946,Debit Card
TXN100221,ACC1007,2025-09-08,Withdrawal,1379,Debit Card
TXN100213,ACC1007,2025-09-09,Received,1821,Debit Card
TXN100214,ACC1007,2025-09-19,Withdrawal,264,Credit Card
TXN100195,ACC1007,2025-09-22,Deposit,992,Net Banking
TXN100204,ACC1007,2025-09-26,Payment,617,Debit Card
TXN100184,ACC1007,2025-09-29,Received,1120,UPI
TXN100186,ACC1007,2025-10-08,Payment,1384,Debit Card
TXN100205,ACC1007,2025-10-14,Withdrawal,785,UPI
TXN100193,ACC1007,2025-10-19,Received,1674,UPI
TXN100187,ACC1007,2025-11-01,Received,1271,Debit Card
TXN100212,ACC1007,2025-11-03,Transfer,563,UPI
TXN100215,ACC1007,2025-11-06,Payment,323,UPI
TXN100194,ACC1007,2025-11-09,Payment,834,UPI
TXN100207,ACC1007,2025-11-10,Received,577,Net Banking
TXN100226,ACC1008,2025-05-31,Payment,856,Debit Card
TXN100241,ACC1008,2025-06-13,Received,862,Debit Card
TXN100233,ACC1008,2025-06-16,Withdrawal,158,Debit Card
TXN100225,ACC1008,2025-07-10,Payment,1480,Debit Card
TXN100235,ACC1008,2025-07-10,Withdrawal,973,Debit Card
TXN100240,ACC1008,2025-07-22,Payment,569,Net Banking
TXN100228,ACC1008,2025-07-23,Payment,961,UPI
TXN100234,ACC1008,2025-07-24,Withdrawal,327,UPI
TXN100222,ACC1008,2025-08-01,Deposit,578,UPI
TXN100230,ACC1008,2025-08-09,Payment,364,Debit Card
TXN100238,ACC1008,2025-08-21,Deposit,1261,Credit Card
TXN100229,ACC1008,2025-08-28,Deposit,1318,Debit Card
TXN100231,ACC1008,2025-09-02,Payment,256,Debit Card
TXN100236,ACC1008,2025-09-05,Deposit,1193,Credit Card
TXN100227,ACC1008,2025-09-22,Payment,1038,Net Banking
TXN100232,ACC1008,2025-09-24,Payment,994,Debit Card
TXN100224,ACC1008,2025-09-28,Withdrawal,113,UPI
TXN100237,ACC1008,2025-10-08,Payment,525,Debit Card
TXN100239,ACC1008,2025-10-08,Transfer,347,Net Banking
TXN100223,ACC1008,2025-10-21,Payment,601,UPI
TXN100266,ACC1009,2025-05-16,Payment,1166,Debit Card
TXN100265,ACC1009,2025-05-18,Transfer,682,Debit Card
TXN100271,ACC1009,2025-06-06,Payment,112,UPI
TXN100254,ACC1009,2025-06-07,Payment,1396,Net Banking
TXN100246,ACC1009,2025-06-14,Withdrawal,673,Credit Card
TXN100250,ACC1009,2025-06-19,Payment,668,Debit Card
TXN100261,ACC1009,2025-06-20,Withdrawal,1074,UPI
TXN100269,ACC1009,2025-06-25,Withdrawal,155,Debit Card
TXN100255,ACC1009,2025-06-30,Payment,207,Net Banking
TXN100258,ACC1009,2025-07-12,Payment,1463,UPI
TXN100245,ACC1009,2025-07-17,Withdrawal,182,UPI
TXN100244,ACC1009,2025-07-19,Deposit,1339,Net Banking
TXN100253,ACC1009,2025-07-19,Deposit,1347,Debit Card
TXN100262,ACC1009,2025-07-23,Withdrawal,284,UPI
TXN100267,ACC1009,2025-07-25,Payment,617,Debit Card
TXN100242,ACC1009,2025-07-30,Received,1954,Net Banking
TXN100260,ACC1009,2025-08-02,Withdrawal,490,Net Banking
TXN100259,ACC1009,2025-08-20,Withdrawal,144,UPI
TXN100268,ACC1009,2025-08-20,Payment,1016,UPI
TXN100272,ACC1009,2025-08-24,Payment,814,UPI
TXN100249,ACC1009,2025-09-02,Withdrawal,1084,Net Banking
TXN100263,ACC1009,2025-09-11,Payment,947,Credit Card
TXN100248,ACC1009,2025-09-14,Payment,1281,UPI
TXN100252,ACC1009,2025-09-15,Payment,888,Debit Card
TXN100243,ACC1009,2025-09-20,Withdrawal,1321,Net Banking
TXN100270,ACC1009,2025-09-22,Payment,383,UPI
TXN100257,ACC1009,2025-10-02,Withdrawal,1204,Debit Card
TXN100274,ACC1009,2025-10-07,Withdrawal,708,UPI
TXN100256,ACC1009,2025-10-09,Payment,1139,Debit Card
TXN100247,ACC1009,2025-10-19,Transfer,225,Debit Card
TXN100264,ACC1009,2025-10-19,Payment,178,UPI
TXN100251,ACC1009,2025-10-27,Deposit,1352,UPI
TXN100273,ACC1009,2025-11-04,Deposit,540,Debit Card
TXN100313,ACC1010,2025-05-17,Payment,994,Debit Card
TXN100288,ACC1010,2025-05-25,Payment,1252,UPI
TXN100314,ACC1010,2025-05-25,Withdrawal,1432,Debit Card
TXN100307,ACC1010,2025-05-29,Payment,730,Debit Card
TXN100279,ACC1010,2025-06-01,Payment,200,UPI
TXN100305,ACC1010,2025-06-01,Payment,1394,Debit Card
TXN100311,ACC1010,2025-06-03,Payment,1244,Net Banking
TXN100308,ACC1010,2025-06-18,Withdrawal,218,UPI
TXN100298,ACC1010,2025-06-24,Payment,998,Debit Card
TXN100284,ACC1010,2025-06-26,Withdrawal,1254,Debit Card
TXN100318,ACC1010,2025-06-28,Payment,1417,UPI
TXN100295,ACC1010,2025-07-02,Withdrawal,1023,UPI
TXN100293,ACC1010,2025-07-03,Withdrawal,1409,Debit Card
TXN100316,ACC1010,2025-07-04,Payment,1080,UPI
TXN100275,ACC1010,2025-07-16,Deposit,1388,Debit Card
TXN100303,ACC1010,2025-07-23,Deposit,1146,UPI
TXN100304,ACC1010,2025-07-23,Withdrawal,477,Debit Card
TXN100306,ACC1010,2025-07-26,Payment,988,Net Banking
TXN100290,ACC1010,2025-08-01,Payment,247,Debit Card
TXN100299,ACC1010,2025-08-06,Transfer,883,UPI
TXN100296,ACC1010,2025-08-10,Deposit,1980,UPI
TXN100282,ACC1010,2025-08-13,Withdrawal,630,Net Banking
TXN100286,ACC1010,2025-08-22,Payment,1172,Net Banking
TXN100300,ACC1010,2025-08-23,Payment,1257,UPI
TXN100315,ACC1010,2025-08-29,Withdrawal,903,Credit Card
TXN100278,ACC1010,2025-09-01,Withdrawal,685,Debit Card
TXN100309,ACC1010,2025-09-07,Payment,1062,Credit Card
TXN100276,ACC1010,2025-09-09,Withdrawal,1396,Debit Card
TXN100301,ACC1010,2025-09-09,Withdrawal,222,UPI
TXN100312,ACC1010,2025-09-17,Payment,965,Debit Card
TXN100294,ACC1010,2025-09-18,Payment,880,Credit Card
TXN100297,ACC1010,2025-09-22,Payment,1377,UPI
TXN100317,ACC1010,2025-09-27,Received,1354,UPI
TXN100310,ACC1010,2025-10-03,Deposit,1437,Debit Card
TXN100287,ACC1010,2025-10-06,Payment,1169,UPI
TXN100280,ACC1010,2025-10-10,Payment,49930,Debit Card
TXN100277,ACC1010,2025-10-11,Payment,1053,Credit Card
TXN100292,ACC1010,2025-10-16,Payment,1062,Net Banking
TXN100281,ACC1010,2025-10-17,Payment,364,Credit Card
TXN100302,ACC1010,2025-10-17,Payment,1142,Debit Card
TXN100289,ACC1010,2025-10-19,Withdrawal,1323,Credit Card
TXN100291,ACC1010,2025-10-23,Withdrawal,298,Debit Card
TXN100283,ACC1010,2025-11-05,Withdrawal,253,Net Banking
TXN100285,ACC1010,2025-11-08,Withdrawal,687,UPI
TXN100326,ACC1011,2025-05-17,Payment,554,UPI
TXN100337,ACC1011,2025-05-17,Transfer,688,UPI
TXN100335,ACC1011,2025-05-18,Payment,1136,Debit Card
TXN100332,ACC1011,2025-06-07,Withdrawal,1053,UPI
TXN100333,ACC1011,2025-06-08,Withdrawal,239,Credit Card
TXN100321,ACC1011,2025-06-17,Payment,156,Credit Card
TXN100343,ACC1011,2025-07-19,Withdrawal,809,UPI
TXN100346,ACC1011,2025-07-22,Transfer,1089,Debit Card
TXN100339,ACC1011,2025-07-27,Deposit,753,Credit Card
TXN100340,ACC1011,2025-07-28,Received,1982,Debit Card
TXN100324,ACC1011,2025-07-29,Transfer,124,Debit Card
TXN100327,ACC1011,2025-08-07,Withdrawal,1349,Credit Card
TXN100344,ACC1011,2025-08-08,Payment,1056,Credit Card
TXN100328,ACC1011,2025-08-11,Payment,501,Debit Card
TXN100338,ACC1011,2025-08-11,Withdrawal,1085,UPI
TXN100322,ACC1011,2025-08-19,Deposit,1324,Debit Card
TXN100342,ACC1011,2025-08-22,Payment,1163,UPI
TXN100334,ACC1011,2025-09-04,Withdrawal,156,Debit Card
TXN100320,ACC1011,2025-09-12,Payment,1019,Net Banking
TXN100325,ACC1011,2025-09-18,Withdrawal,331,UPI
TXN100336,ACC1011,2025-09-22,Payment,1373,UPI
TXN100319,ACC1011,2025-09-26,Transfer,477,Debit Card
TXN100329,ACC1011,2025-09-30,Received,808,Credit Card
TXN100331,ACC1011,2025-10-09,Withdrawal,1165,Debit Card
TXN100347,ACC1011,2025-10-15,Received,1373,UPI
TXN100330,ACC1011,2025-10-26,Transfer,293,Debit Card
TXN100345,ACC1011,2025-10-30,Withdrawal,318,UPI
TXN100341,ACC1011,2025-11-09,Withdrawal,465,Debit Card
TXN100323,ACC1011,2025-11-11,Withdrawal,209,UPI
TXN100383,ACC1012,2025-05-21,Withdrawal,194,Net Banking
TXN100374,ACC1012,2025-05-22,Transfer,1423,UPI
TXN100386,ACC1012,2025-06-05,Received,1131,Debit Card
TXN100349,ACC1012,2025-06-12,Payment,1049,Debit Card
TXN100380,ACC1012,2025-06-24,Withdrawal,919,Credit Card
TXN100388,ACC1012,2025-06-24,Payment,376,UPI
TXN100351,ACC1012,2025-06-26,Payment,669,Credit Card
TXN100366,ACC1012,2025-07-02,Withdrawal,1291,Credit Card
TXN100363,ACC1012,2025-07-03,Received,1613,UPI
TXN100354,ACC1012,2025-07-05,Deposit,681,UPI
TXN100357,ACC1012,2025-07-07,Withdrawal,672,UPI
TXN100389,ACC1012,2025-07-09,Withdrawal,1097,UPI
TXN100364,ACC1012,2025-07-22,Payment,1255,Debit Card
TXN100375,ACC1012,2025-07-23,Deposit,1045,UPI
TXN100379,ACC1012,2025-07-23,Deposit,1668,UPI
TXN100360,ACC1012,2025-07-30,Withdrawal,1459,UPI
TXN100350,ACC1012,2025-07-31,Withdrawal,977,Credit Card
TXN100372,ACC1012,2025-07-31,Payment,1268,Debit Card
TXN100367,ACC1012,2025-08-03,Payment,788,Debit Card
TXN100378,ACC1012,2025-08-08,Transfer,1201,Debit Card
TXN100391,ACC1012,2025-08-10,Withdrawal,472,Debit Card
TXN100362,ACC1012,2025-08-11,Withdrawal,958,Debit Card
TXN100361,ACC1012,2025-08-19,Withdrawal,1290,UPI
TXN100348,ACC1012,2025-08-20,Received,1507,UPI
TXN100356,ACC1012,2025-08-21,Withdrawal,314,Debit Card
TXN100373,ACC1012,2025-08-23,Payment,305,Debit Card
TXN100352,ACC1012,2025-08-24,Payment,170,Net Banking
TXN100358,ACC1012,2025-09-13,Transfer,1186,UPI
TXN100376,ACC1012,2025-09-14,Payment,1420,Credit Card
TXN100369,ACC1012,2025-09-16,Payment,953,UPI
TXN100365,ACC1012,2025-09-18,Deposit,971,UPI
TXN100384,ACC1012,2025-09-19,Payment,318,UPI
TXN100387,ACC1012,2025-09-20,Withdrawal,118,Debit Card
TXN100392,ACC1012,2025-09-27,Payment,374,Debit Card
TXN100377,ACC1012,2025-09-28,Payment,1251,UPI
TXN100353,ACC1012,2025-10-05,Withdrawal,476,Debit Card
TXN100355,ACC1012,2025-10-08,Transfer,962,UPI
TXN100385,ACC1012,2025-10-10,Transfer,1495,Debit Card
TXN100371,ACC1012,2025-10-13,Withdrawal,1207,Net Banking
TXN100368,ACC1012,2025-10-20,Payment,1059,Net Banking
TXN100370,ACC1012,2025-10-21,Payment,807,UPI
TXN100381,ACC1012,2025-10-23,Deposit,1829,UPI
TXN100359,ACC1012,2025-11-04,Payment,871,UPI
TXN100382,ACC1012,2025-11-08,Payment,545,Net Banking
TXN100390,ACC1012,2025-11-14,Withdrawal,1307,Debit Card
TXN100412,ACC1013,2025-05-16,Received,716,Debit Card
TXN100409,ACC1013,2025-05-19,Withdrawal,257,Debit Card
TXN100398,ACC1013,2025-05-27,Withdrawal,1180,UPI
TXN100404,ACC1013,2025-06-02,Withdrawal,1150,Debit Card
TXN100397,ACC1013,2025-07-05,Payment,827,UPI
TXN100419,ACC1013,2025-07-05,Withdrawal,173,UPI
TXN100394,ACC1013,2025-07-16,Withdrawal,674,Debit Card
TXN100406,ACC1013,2025-07-25,Transfer,1285,UPI
TXN100393,ACC1013,2025-07-27,Transfer,887,UPI
TXN100401,ACC1013,2025-07-30,Payment,894,Debit Card
TXN100395,ACC1013,2025-08-04,Payment,522,Debit Card
TXN100421,ACC1013,2025-08-11,Payment,1127,UPI
TXN100403,ACC1013,2025-08-26,Withdrawal,1219,Debit Card
TXN100416,ACC1013,2025-09-11,Withdrawal,908,UPI
TXN100415,ACC1013,2025-09-14,Payment,562,Debit Card
TXN100417,ACC1013,2025-09-18,Payment,144,UPI
TXN100399,ACC1013,2025-09-21,Received,1802,UPI
TXN100402,ACC1013,2025-09-21,Withdrawal,208,UPI
TXN100413,ACC1013,2025-09-25,Deposit,1117,Debit Card
TXN100407,ACC1013,2025-09-29,Withdrawal,610,Debit Card
TXN100414,ACC1013,2025-10-02,Deposit,879,Debit Card
TXN100420,ACC1013,2025-10-07,Withdrawal,787,Debit Card
TXN100410,ACC1013,2025-10-12,Withdrawal,1327,UPI
TXN100396,ACC1013,2025-10-15,Deposit,1911,Debit Card
TXN100400,ACC1013,2025-10-18,Withdrawal,370,Credit Card
TXN100418,ACC1013,2025-10-22,Payment,425,UPI
TXN100411,ACC1013,2025-10-28,Withdrawal,992,UPI
TXN100405,ACC1013,2025-11-03,Received,1605,Credit Card
TXN100408,ACC1013,2025-11-10,Withdrawal,1378,Net Banking
TXN100423,ACC1014,2025-05-18,Transfer,1054,Credit Card
TXN100432,ACC1014,2025-05-26,Payment,358,Debit Card
TXN100426,ACC1014,2025-06-01,Payment,1264,UPI
TXN100422,ACC1014,2025-06-05,Payment,1091,UPI
TXN100428,ACC1014,2025-06-06,Withdrawal,270,UPI
TXN100425,ACC1014,2025-06-24,Withdrawal,572,UPI
TXN100431,ACC1014,2025-06-24,Payment,1069,Credit Card
TXN100442,ACC1014,2025-06-28,Withdrawal,787,Debit Card
TXN100424,ACC1014,2025-07-08,Withdrawal,787,UPI
TXN100441,ACC1014,2025-07-18,Payment,472,Debit Card
TXN100437,ACC1014,2025-07-24,Withdrawal,494,Debit Card
TXN100434,ACC1014,2025-07-25,Deposit,1760,UPI
TXN100427,ACC1014,2025-07-31,Withdrawal,869,Credit Card
TXN100446,ACC1014,2025-08-14,Received,1712,UPI
TXN100445,ACC1014,2025-08-15,Withdrawal,1498,Debit Card
TXN100439,ACC1014,2025-08-16,Payment,1458,Credit Card
TXN100443,ACC1014,2025-08-25,Withdrawal,921,UPI
TXN100440,ACC1014,2025-09-25,Payment,1412,UPI
